Customer ID,Age,Gender,Location,Purchase Amount (USD),Previous Purchases,Item Purchased,Category,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Payment Method,Frequency of Purchases,Discount Applied,Promo Code Used,Loyalty_Score_Final,Loyalty_Tier_Corrected,Buyer_Type
19,52,Male,Montana,48,17,Sweater,Clothing,S,Black,Summer,4.6,Yes,Free Shipping,Cash,Weekly,Yes,Yes,53.79591836734694,High Loyalty,Valuable but Promo-Driven
20,66,Male,Rhode Island,90,46,Pants,Clothing,M,Green,Summer,3.3,Yes,Standard,Debit Card,Bi-Weekly,Yes,Yes,82.55102040816327,High Loyalty,Valuable but Promo-Driven
21,21,Male,Louisiana,51,50,Pants,Clothing,M,Black,Winter,2.8,Yes,Express,Cash,Every 3 Months,Yes,Yes,65.5,High Loyalty,Valuable but Promo-Driven
22,31,Male,North Carolina,62,22,Pants,Clothing,M,Charcoal,Winter,4.1,Yes,Store Pickup,Debit Card,Quarterly,Yes,Yes,53.85714285714285,High Loyalty,Valuable but Promo-Driven
23,56,Male,California,37,32,Pants,Clothing,M,Peach,Summer,3.2,Yes,Store Pickup,Debit Card,Annually,Yes,Yes,50.47959183673469,Medium Loyalty,Mixed Behavior
24,31,Male,Oklahoma,88,40,Pants,Clothing,XL,White,Winter,4.4,Yes,Express,Credit Card,Weekly,Yes,Yes,87.87755102040816,High Loyalty,Valuable but Promo-Driven
25,18,Male,Florida,22,16,Jacket,Outerwear,M,Green,Fall,2.9,Yes,Store Pickup,Debit Card,Weekly,Yes,Yes,40.183673469387756,Medium Loyalty,Mixed Behavior
26,18,Male,Texas,25,14,Hoodie,Clothing,M,Silver,Summer,3.6,Yes,Express,PayPal,Annually,Yes,Yes,33.45918367346938,Low Loyalty,Discount-Only (Only Buy on Sale)
27,38,Male,Nevada,20,13,Jewelry,Accessories,M,Red,Spring,3.6,Yes,Next Day Air,Credit Card,Annually,Yes,Yes,30.346938775510203,Low Loyalty,Discount-Only (Only Buy on Sale)
28,56,Male,Kentucky,56,7,Shorts,Clothing,L,Cyan,Summer,5.0,Yes,Next Day Air,Bank Transfer,Every 3 Months,Yes,Yes,41.673469387755105,Medium Loyalty,Mixed Behavior
29,54,Male,North Carolina,94,41,Handbag,Accessories,M,Gray,Fall,4.4,Yes,Free Shipping,PayPal,Every 3 Months,Yes,Yes,81.48979591836736,High Loyalty,Valuable but Promo-Driven
30,31,Male,Wyoming,48,14,Dress,Clothing,S,Black,Fall,4.1,Yes,Store Pickup,Credit Card,Weekly,Yes,Yes,51.95918367346939,Medium Loyalty,Mixed Behavior
31,57,Male,North Carolina,31,16,Jewelry,Accessories,L,Black,Winter,4.7,Yes,Standard,Credit Card,Monthly,Yes,Yes,40.683673469387756,Medium Loyalty,Mixed Behavior
32,33,Male,West Virginia,79,45,Dress,Clothing,L,Brown,Winter,4.7,Yes,Store Pickup,Venmo,Monthly,Yes,Yes,82.43877551020408,High Loyalty,Valuable but Promo-Driven
33,36,Male,Kansas,67,37,Jacket,Outerwear,M,Silver,Summer,4.9,Yes,Free Shipping,Venmo,Annually,Yes,Yes,68.54081632653062,High Loyalty,Valuable but Promo-Driven
34,54,Male,Colorado,38,45,Pants,Clothing,L,Green,Summer,3.3,Yes,Store Pickup,Cash,Quarterly,Yes,Yes,55.938775510204074,High Loyalty,Valuable but Promo-Driven
35,36,Male,North Dakota,91,38,T-shirt,Clothing,L,Violet,Spring,4.6,Yes,2-Day Shipping,PayPal,Quarterly,Yes,Yes,78.15306122448979,High Loyalty,Valuable but Promo-Driven
36,54,Male,Massachusetts,33,48,Blouse,Clothing,M,Cyan,Summer,4.0,Yes,2-Day Shipping,Credit Card,Bi-Weekly,Yes,Yes,55.275510204081634,High Loyalty,Valuable but Promo-Driven
37,35,Male,Illinois,69,44,T-shirt,Clothing,M,Maroon,Winter,4.6,Yes,Free Shipping,PayPal,Fortnightly,Yes,Yes,78.8265306122449,High Loyalty,Valuable but Promo-Driven
38,35,Male,Indiana,45,10,Jeans,Clothing,S,Cyan,Summer,2.8,Yes,Store Pickup,PayPal,Weekly,Yes,Yes,48.01020408163266,Medium Loyalty,Mixed Behavior
39,29,Male,Florida,37,44,Dress,Clothing,M,Red,Winter,3.750064716541548,Yes,2-Day Shipping,Venmo,Every 3 Months,Yes,Yes,54.826530612244895,High Loyalty,Valuable but Promo-Driven
40,70,Male,Arizona,60,18,Pants,Clothing,S,Turquoise,Summer,4.2,Yes,Express,Credit Card,Monthly,Yes,Yes,56.40816326530613,High Loyalty,Valuable but Promo-Driven
41,69,Male,Louisiana,76,31,Handbag,Accessories,L,Beige,Winter,4.6,Yes,Next Day Air,Debit Card,Quarterly,Yes,Yes,66.36734693877551,High Loyalty,Valuable but Promo-Driven
42,67,Male,Alaska,39,40,Scarf,Accessories,M,Orange,Spring,4.5,Yes,Standard,Venmo,Annually,Yes,Yes,56.377551020408156,High Loyalty,Valuable but Promo-Driven
43,20,Male,Tennessee,100,15,Coat,Outerwear,M,Beige,Spring,4.1,Yes,Free Shipping,PayPal,Annually,Yes,Yes,71.57142857142857,High Loyalty,Valuable but Promo-Driven
44,25,Male,Ohio,69,19,Scarf,Accessories,L,Lavender,Fall,3.7,Yes,Store Pickup,PayPal,Fortnightly,Yes,Yes,63.520408163265316,High Loyalty,Valuable but Promo-Driven
45,39,Male,Kentucky,53,45,Hat,Accessories,S,Silver,Summer,4.6,Yes,Free Shipping,PayPal,Weekly,Yes,Yes,73.43877551020408,High Loyalty,Valuable but Promo-Driven
46,50,Male,Tennessee,21,25,Socks,Clothing,XL,Indigo,Fall,2.9,Yes,2-Day Shipping,PayPal,Annually,Yes,Yes,38.19387755102041,Medium Loyalty,Mixed Behavior
47,57,Male,California,43,45,Shirt,Clothing,L,White,Summer,2.9,Yes,Store Pickup,Cash,Quarterly,Yes,Yes,58.438775510204074,High Loyalty,Valuable but Promo-Driven
48,55,Male,Montana,54,36,Jewelry,Accessories,M,Charcoal,Winter,4.5,Yes,Free Shipping,Cash,Weekly,Yes,Yes,68.42857142857143,High Loyalty,Valuable but Promo-Driven
49,42,Male,Nevada,55,38,Shirt,Clothing,M,Orange,Summer,2.7,Yes,Store Pickup,Cash,Monthly,Yes,Yes,66.1530612244898,High Loyalty,Valuable but Promo-Driven
50,68,Male,New Jersey,30,34,Hoodie,Clothing,S,Indigo,Spring,4.6,Yes,Next Day Air,Debit Card,Bi-Weekly,Yes,Yes,45.20408163265306,Medium Loyalty,Mixed Behavior
51,49,Male,Maryland,28,39,Blouse,Clothing,M,Red,Spring,3.750064716541548,Yes,Store Pickup,Debit Card,Bi-Weekly,Yes,Yes,47.26530612244898,Medium Loyalty,Mixed Behavior
52,59,Male,Vermont,59,7,Skirt,Clothing,XL,Gray,Winter,4.7,Yes,2-Day Shipping,Credit Card,Quarterly,Yes,Yes,43.173469387755105,Medium Loyalty,Mixed Behavior
53,42,Male,Alaska,20,26,T-shirt,Clothing,M,Green,Summer,2.6,Yes,Free Shipping,Credit Card,Weekly,Yes,Yes,45.30612244897959,Medium Loyalty,Mixed Behavior
54,29,Male,Mississippi,24,35,Skirt,Clothing,S,Peach,Winter,3.9,Yes,Next Day Air,Credit Card,Weekly,Yes,Yes,52.816326530612244,Medium Loyalty,Mixed Behavior
55,47,Male,New Mexico,94,35,Coat,Outerwear,M,Brown,Summer,4.2,Yes,Next Day Air,Debit Card,Bi-Weekly,Yes,Yes,77.81632653061226,High Loyalty,Valuable but Promo-Driven
56,40,Male,South Carolina,28,49,Jacket,Outerwear,M,Lavender,Winter,3.0,Yes,2-Day Shipping,Credit Card,Annually,Yes,Yes,56.38775510204081,High Loyalty,Valuable but Promo-Driven
57,41,Male,Mississippi,73,46,Backpack,Accessories,XL,Brown,Summer,4.7,Yes,Store Pickup,Credit Card,Weekly,Yes,Yes,84.05102040816327,High Loyalty,Valuable but Promo-Driven
58,21,Male,West Virginia,64,17,Coat,Outerwear,M,White,Summer,4.4,Yes,Store Pickup,Debit Card,Fortnightly,Yes,Yes,59.79591836734694,High Loyalty,Valuable but Promo-Driven
59,69,Male,Missouri,54,29,Hoodie,Clothing,M,Charcoal,Summer,4.2,Yes,Free Shipping,Venmo,Monthly,Yes,Yes,60.14285714285714,High Loyalty,Valuable but Promo-Driven
60,63,Male,Louisiana,79,4,Belt,Accessories,L,Yellow,Spring,4.6,Yes,Standard,Debit Card,Weekly,Yes,Yes,61.33673469387756,High Loyalty,Valuable but Promo-Driven
61,50,Male,Idaho,37,17,Sweater,Clothing,L,Brown,Summer,4.0,Yes,Express,Cash,Weekly,Yes,Yes,48.29591836734694,Medium Loyalty,Mixed Behavior
62,55,Male,Texas,68,21,Scarf,Accessories,M,Orange,Winter,4.7,Yes,Store Pickup,Credit Card,Every 3 Months,Yes,Yes,56.24489795918368,High Loyalty,Valuable but Promo-Driven
63,30,Male,Mississippi,21,31,Sneakers,Footwear,S,Magenta,Spring,3.8,Yes,Free Shipping,Credit Card,Fortnightly,Yes,Yes,46.867346938775505,Medium Loyalty,Mixed Behavior
64,33,Male,Arizona,79,43,Sunglasses,Accessories,L,Lavender,Winter,2.7,Yes,2-Day Shipping,Credit Card,Weekly,Yes,Yes,85.21428571428572,High Loyalty,Valuable but Promo-Driven
65,65,Male,Alabama,83,18,Boots,Footwear,S,Green,Fall,4.8,Yes,Standard,Debit Card,Fortnightly,Yes,Yes,69.90816326530613,High Loyalty,Valuable but Promo-Driven
66,65,Male,New Jersey,36,44,Backpack,Accessories,M,Purple,Spring,4.8,Yes,2-Day Shipping,Venmo,Every 3 Months,Yes,Yes,54.326530612244895,High Loyalty,Valuable but Promo-Driven
67,31,Male,Pennsylvania,94,3,Blouse,Clothing,S,Magenta,Winter,4.7,Yes,2-Day Shipping,Venmo,Every 3 Months,Yes,Yes,58.224489795918366,High Loyalty,Valuable but Promo-Driven
68,45,Male,Connecticut,33,49,Coat,Outerwear,L,Gray,Winter,4.4,Yes,Store Pickup,Debit Card,Monthly,Yes,Yes,61.887755102040806,High Loyalty,Valuable but Promo-Driven
69,57,Male,Utah,46,21,Handbag,Accessories,L,Silver,Summer,3.9,Yes,Next Day Air,Cash,Every 3 Months,Yes,Yes,45.244897959183675,Medium Loyalty,Mixed Behavior
70,48,Male,Tennessee,70,5,Belt,Accessories,S,Cyan,Summer,4.4,Yes,Express,Cash,Weekly,Yes,Yes,57.44897959183673,High Loyalty,Valuable but Promo-Driven
71,22,Male,Alabama,29,32,Belt,Accessories,M,Magenta,Fall,4.2,Yes,Express,Debit Card,Every 3 Months,Yes,Yes,43.47959183673469,Medium Loyalty,Mixed Behavior
72,36,Male,Virginia,48,34,Dress,Clothing,L,Gold,Summer,2.9,Yes,Express,Bank Transfer,Annually,Yes,Yes,57.20408163265307,High Loyalty,Valuable but Promo-Driven
73,18,Male,Georgia,26,21,Dress,Clothing,M,Olive,Winter,2.9,Yes,Store Pickup,Bank Transfer,Every 3 Months,Yes,Yes,35.244897959183675,Medium Loyalty,Mixed Behavior
74,48,Male,Hawaii,85,43,Pants,Clothing,M,Teal,Spring,2.7,Yes,Free Shipping,Bank Transfer,Bi-Weekly,Yes,Yes,78.21428571428571,High Loyalty,Valuable but Promo-Driven
75,49,Male,Indiana,58,3,Gloves,Accessories,L,Violet,Spring,4.5,Yes,Express,Cash,Monthly,Yes,Yes,46.22448979591837,Medium Loyalty,Mixed Behavior
76,64,Male,Utah,85,21,Scarf,Accessories,M,Blue,Summer,2.7,Yes,Free Shipping,Credit Card,Annually,Yes,Yes,67.74489795918367,High Loyalty,Valuable but Promo-Driven
77,50,Male,Delaware,43,32,Hat,Accessories,S,Teal,Summer,4.2,Yes,Free Shipping,Venmo,Monthly,Yes,Yes,56.4795918367347,High Loyalty,Valuable but Promo-Driven
78,22,Male,Delaware,53,36,Dress,Clothing,L,Gold,Summer,3.3,Yes,Next Day Air,Debit Card,Fortnightly,Yes,Yes,65.92857142857143,High Loyalty,Valuable but Promo-Driven
79,50,Male,Nebraska,91,50,Skirt,Clothing,M,Maroon,Spring,4.7,Yes,Free Shipping,Venmo,Fortnightly,Yes,Yes,93.5,High Loyalty,Valuable but Promo-Driven
80,38,Male,Iowa,96,43,Jacket,Outerwear,M,Olive,Winter,2.6,Yes,2-Day Shipping,Bank Transfer,Every 3 Months,Yes,Yes,83.71428571428572,High Loyalty,Valuable but Promo-Driven
81,19,Male,New York,72,24,Sandals,Footwear,XL,Blue,Summer,3.750064716541548,Yes,Store Pickup,Credit Card,Every 3 Months,Yes,Yes,60.081632653061234,High Loyalty,Valuable but Promo-Driven
82,67,Male,Virginia,96,36,Shoes,Footwear,L,Maroon,Summer,2.6,Yes,Express,Credit Card,Every 3 Months,Yes,Yes,79.42857142857143,High Loyalty,Valuable but Promo-Driven
83,19,Male,Georgia,28,21,Pants,Clothing,S,Olive,Spring,4.0,Yes,2-Day Shipping,Credit Card,Every 3 Months,Yes,Yes,36.244897959183675,Medium Loyalty,Mixed Behavior
84,36,Male,Texas,40,34,Dress,Clothing,M,Turquoise,Summer,4.1,Yes,Standard,Bank Transfer,Weekly,Yes,Yes,60.204081632653065,High Loyalty,Valuable but Promo-Driven
85,52,Male,Arizona,32,42,Coat,Outerwear,S,Peach,Spring,4.4,Yes,Standard,Bank Transfer,Every 3 Months,Yes,Yes,51.10204081632652,Medium Loyalty,Mixed Behavior
86,53,Male,New Mexico,95,2,Sunglasses,Accessories,M,Charcoal,Winter,4.5,Yes,Next Day Air,Debit Card,Bi-Weekly,Yes,Yes,58.11224489795919,High Loyalty,Valuable but Promo-Driven
87,24,Male,Nevada,41,47,Hoodie,Clothing,L,Pink,Spring,3.7,Yes,2-Day Shipping,Cash,Bi-Weekly,Yes,Yes,58.66326530612245,High Loyalty,Valuable but Promo-Driven
88,52,Male,Ohio,53,44,Shoes,Footwear,M,Green,Fall,3.7,Yes,2-Day Shipping,Debit Card,Fortnightly,Yes,Yes,70.82653061224491,High Loyalty,Valuable but Promo-Driven
89,33,Male,Wyoming,47,35,T-shirt,Clothing,M,Orange,Fall,3.5,Yes,Free Shipping,Credit Card,Monthly,Yes,Yes,60.31632653061225,High Loyalty,Valuable but Promo-Driven
90,47,Male,California,83,15,Jacket,Outerwear,XL,Pink,Fall,3.6,Yes,Next Day Air,Cash,Quarterly,Yes,Yes,60.07142857142858,High Loyalty,Valuable but Promo-Driven
91,25,Male,South Carolina,48,29,Hat,Accessories,L,Violet,Summer,2.9,Yes,Express,Credit Card,Monthly,Yes,Yes,57.14285714285714,High Loyalty,Valuable but Promo-Driven
92,44,Male,South Carolina,99,18,Scarf,Accessories,S,Green,Winter,4.6,Yes,Standard,Credit Card,Every 3 Months,Yes,Yes,69.90816326530613,High Loyalty,Valuable but Promo-Driven
93,61,Male,Texas,87,13,Jacket,Outerwear,M,Olive,Winter,4.4,Yes,2-Day Shipping,Venmo,Every 3 Months,Yes,Yes,60.84693877551022,High Loyalty,Valuable but Promo-Driven
94,37,Male,Florida,62,46,Sweater,Clothing,M,Purple,Fall,4.5,Yes,Standard,Credit Card,Weekly,Yes,Yes,78.55102040816327,High Loyalty,Valuable but Promo-Driven
95,58,Male,Nevada,76,28,Skirt,Clothing,S,Silver,Spring,4.6,Yes,Free Shipping,Credit Card,Weekly,Yes,Yes,74.53061224489795,High Loyalty,Valuable but Promo-Driven
96,37,Male,Missouri,100,48,Sneakers,Footwear,L,Pink,Fall,3.8,Yes,Free Shipping,PayPal,Monthly,Yes,Yes,94.77551020408164,High Loyalty,Valuable but Promo-Driven
97,32,Male,Delaware,73,43,Gloves,Accessories,S,Gold,Spring,3.750064716541548,Yes,Express,Venmo,Every 3 Months,Yes,Yes,72.21428571428572,High Loyalty,Valuable but Promo-Driven
98,21,Male,Virginia,92,37,Shoes,Footwear,M,Teal,Winter,4.8,Yes,Store Pickup,Cash,Annually,Yes,Yes,81.04081632653062,High Loyalty,Valuable but Promo-Driven
99,20,Male,New York,67,20,Jeans,Clothing,XL,Teal,Spring,2.6,Yes,Next Day Air,Bank Transfer,Annually,Yes,Yes,58.132653061224495,High Loyalty,Valuable but Promo-Driven
100,26,Male,Missouri,40,33,Hoodie,Clothing,XL,Indigo,Summer,3.7,Yes,Express,Debit Card,Quarterly,Yes,Yes,49.59183673469388,Medium Loyalty,Mixed Behavior
101,62,Male,South Dakota,98,31,Sunglasses,Accessories,M,Maroon,Fall,2.7,Yes,Express,Cash,Fortnightly,Yes,Yes,85.36734693877553,High Loyalty,Valuable but Promo-Driven
102,27,Male,North Dakota,85,50,Coat,Outerwear,XL,White,Spring,4.6,Yes,Express,Credit Card,Bi-Weekly,Yes,Yes,82.5,High Loyalty,Valuable but Promo-Driven
103,51,Male,Oklahoma,67,35,Socks,Clothing,L,Violet,Winter,4.8,Yes,Next Day Air,Credit Card,Quarterly,Yes,Yes,64.31632653061224,High Loyalty,Valuable but Promo-Driven
104,54,Male,West Virginia,89,22,Boots,Footwear,L,Red,Winter,4.0,Yes,Next Day Air,Venmo,Bi-Weekly,Yes,Yes,67.35714285714285,High Loyalty,Valuable but Promo-Driven
105,55,Male,New Hampshire,24,1,Sunglasses,Accessories,L,Pink,Spring,4.4,Yes,2-Day Shipping,PayPal,Monthly,Yes,Yes,28.000000000000004,Low Loyalty,Discount-Only (Only Buy on Sale)
106,69,Male,New York,96,4,Backpack,Accessories,M,Charcoal,Fall,3.6,Yes,Next Day Air,Bank Transfer,Annually,Yes,Yes,62.83673469387756,High Loyalty,Valuable but Promo-Driven
107,64,Male,Minnesota,35,31,Jacket,Outerwear,L,White,Summer,3.7,Yes,Standard,Credit Card,Monthly,Yes,Yes,51.867346938775505,Medium Loyalty,Mixed Behavior
108,28,Male,Maryland,67,46,Sneakers,Footwear,L,Olive,Winter,3.1,Yes,Next Day Air,PayPal,Fortnightly,Yes,Yes,79.05102040816328,High Loyalty,Valuable but Promo-Driven
109,70,Male,Montana,79,32,Socks,Clothing,L,Purple,Spring,3.4,Yes,Next Day Air,Bank Transfer,Bi-Weekly,Yes,Yes,68.47959183673468,High Loyalty,Valuable but Promo-Driven
110,58,Male,Alabama,85,43,T-shirt,Clothing,M,Violet,Spring,2.6,Yes,Next Day Air,Bank Transfer,Fortnightly,Yes,Yes,86.21428571428571,High Loyalty,Valuable but Promo-Driven
111,56,Male,New York,26,26,Backpack,Accessories,M,Black,Summer,4.0,Yes,Standard,Venmo,Fortnightly,Yes,Yes,46.30612244897959,Medium Loyalty,Mixed Behavior
112,26,Male,Massachusetts,75,9,Belt,Accessories,L,Purple,Summer,5.0,Yes,Free Shipping,Credit Card,Annually,Yes,Yes,55.39795918367347,High Loyalty,Valuable but Promo-Driven
113,37,Male,Florida,65,28,Gloves,Accessories,M,Red,Spring,4.3,Yes,Free Shipping,PayPal,Bi-Weekly,Yes,Yes,59.03061224489796,High Loyalty,Valuable but Promo-Driven
114,44,Male,New Jersey,54,20,Hat,Accessories,L,Maroon,Winter,3.1,Yes,Next Day Air,PayPal,Quarterly,Yes,Yes,48.63265306122449,Medium Loyalty,Mixed Behavior
115,70,Male,Massachusetts,95,9,Coat,Outerwear,S,Blue,Summer,3.7,Yes,Store Pickup,Cash,Weekly,Yes,Yes,72.39795918367346,High Loyalty,Valuable but Promo-Driven
116,53,Male,Wyoming,94,48,Skirt,Clothing,M,Gray,Spring,3.8,Yes,Standard,Debit Card,Every 3 Months,Yes,Yes,85.77551020408163,High Loyalty,Valuable but Promo-Driven
117,55,Male,Virginia,86,12,Shoes,Footwear,S,Blue,Spring,3.4,Yes,Free Shipping,Venmo,Annually,Yes,Yes,62.73469387755102,High Loyalty,Valuable but Promo-Driven
118,50,Male,South Dakota,32,29,Sandals,Footwear,L,Yellow,Summer,4.6,Yes,Express,Cash,Fortnightly,Yes,Yes,51.142857142857146,Medium Loyalty,Mixed Behavior
119,50,Male,Kentucky,45,27,Sweater,Clothing,L,Orange,Fall,4.8,Yes,2-Day Shipping,Cash,Bi-Weekly,Yes,Yes,48.41836734693877,Medium Loyalty,Mixed Behavior
120,38,Male,Wyoming,76,44,Coat,Outerwear,M,Orange,Fall,4.3,Yes,Express,Cash,Annually,Yes,Yes,77.32653061224491,High Loyalty,Valuable but Promo-Driven
121,64,Male,West Virginia,84,32,Hat,Accessories,L,Red,Summer,4.0,Yes,Express,Bank Transfer,Annually,Yes,Yes,73.9795918367347,High Loyalty,Valuable but Promo-Driven
122,19,Male,Virginia,72,11,Shorts,Clothing,M,Olive,Winter,4.2,Yes,Standard,Cash,Fortnightly,Yes,Yes,60.122448979591844,High Loyalty,Valuable but Promo-Driven
123,40,Male,Washington,40,44,Backpack,Accessories,L,Brown,Spring,4.8,Yes,2-Day Shipping,Cash,Fortnightly,Yes,Yes,64.3265306122449,High Loyalty,Valuable but Promo-Driven
124,57,Male,Louisiana,89,46,Sweater,Clothing,L,Brown,Fall,3.1,Yes,Free Shipping,Cash,Weekly,Yes,Yes,92.05102040816325,High Loyalty,Valuable but Promo-Driven
125,44,Male,Nevada,86,50,Sweater,Clothing,M,Gray,Spring,3.1,Yes,Next Day Air,PayPal,Annually,Yes,Yes,86.00000000000001,High Loyalty,Valuable but Promo-Driven
126,49,Male,California,54,45,Shorts,Clothing,M,Indigo,Winter,3.6,Yes,Next Day Air,Venmo,Every 3 Months,Yes,Yes,63.93877551020408,High Loyalty,Valuable but Promo-Driven
127,43,Male,Mississippi,36,48,Shorts,Clothing,L,Pink,Spring,3.9,Yes,Store Pickup,Cash,Every 3 Months,Yes,Yes,56.77551020408163,High Loyalty,Valuable but Promo-Driven
128,24,Male,Mississippi,89,26,Sweater,Clothing,M,Gray,Winter,4.8,Yes,Next Day Air,Credit Card,Weekly,Yes,Yes,79.8061224489796,High Loyalty,Valuable but Promo-Driven
129,20,Male,California,32,21,Scarf,Accessories,M,Gold,Spring,4.7,Yes,Standard,Credit Card,Fortnightly,Yes,Yes,46.24489795918368,Medium Loyalty,Mixed Behavior
130,24,Male,Pennsylvania,67,49,Dress,Clothing,XL,Olive,Summer,4.2,Yes,2-Day Shipping,PayPal,Bi-Weekly,Yes,Yes,72.88775510204081,High Loyalty,Valuable but Promo-Driven
131,44,Male,Kentucky,39,13,Scarf,Accessories,L,Violet,Fall,3.7,Yes,Next Day Air,PayPal,Fortnightly,Yes,Yes,44.84693877551021,Medium Loyalty,Mixed Behavior
132,28,Male,Maine,29,46,Skirt,Clothing,L,Indigo,Summer,3.9,Yes,Standard,Credit Card,Weekly,Yes,Yes,62.05102040816327,High Loyalty,Valuable but Promo-Driven
133,30,Male,New Mexico,58,42,Backpack,Accessories,M,Orange,Fall,4.7,Yes,2-Day Shipping,PayPal,Weekly,Yes,Yes,74.10204081632654,High Loyalty,Valuable but Promo-Driven
134,52,Male,Montana,65,25,Sweater,Clothing,M,Violet,Winter,2.5,Yes,Next Day Air,Venmo,Annually,Yes,Yes,60.193877551020414,High Loyalty,Valuable but Promo-Driven
135,43,Male,Texas,94,25,Hat,Accessories,L,Gray,Fall,4.9,Yes,Store Pickup,Cash,Monthly,Yes,Yes,77.69387755102042,High Loyalty,Valuable but Promo-Driven
136,43,Male,Kansas,81,12,Sandals,Footwear,M,Purple,Fall,4.1,Yes,Express,PayPal,Quarterly,Yes,Yes,57.234693877551024,High Loyalty,Valuable but Promo-Driven
137,39,Male,South Carolina,86,4,Blouse,Clothing,M,White,Winter,3.3,Yes,Free Shipping,Debit Card,Quarterly,Yes,Yes,54.83673469387755,High Loyalty,Valuable but Promo-Driven
138,68,Male,Colorado,43,38,Sneakers,Footwear,M,Turquoise,Spring,4.7,Yes,Free Shipping,PayPal,Weekly,Yes,Yes,64.15306122448979,High Loyalty,Valuable but Promo-Driven
139,68,Male,Georgia,29,42,Skirt,Clothing,M,Maroon,Winter,4.4,Yes,Store Pickup,Bank Transfer,Weekly,Yes,Yes,59.60204081632653,High Loyalty,Valuable but Promo-Driven
